student,topic,round,choice
20161963,2022wl059,2,3
20161975,2022wl033,1,1
20161993,2022wl022,1,1
20162020,2022wl030,3,1
20172281,2022xj010,1,1
20172359,2022wl004,1,1
20172376,2022wl040,1,1
20172378,2022wl012,2,1
20182289,2022xj056,1,3
20182290,2022xj067,1,1
20182291,2022xj069,2,2
20182292,2022xj006,1,1
20182294,2022xj014,1,1
20182295,2022xj021,1,1
20182296,2022xj041,1,2
20182297,2022xj074,1,1
20182299,2022xj040,1,2
20182301,2022xj066,1,1
20182302,2022xj037,1,1
20182303,2022xj065,1,1
20182305,2022xj039,1,2
20182308,2022xj019,1,3
20182309,2022xj071,1,1
20182310,2022xj063,2,1
20182311,2022xj024,1,1
20182312,2022xj001,2,2
20182313,2022xj013,1,1
20182314,2022xj008,1,1
20182315,2022xj005,1,1
20182316,2022xj054,1,1
20182317,2022xj062,1,3
20182319,2022xj034,2,1
20182320,2022xj025,1,1
20182321,2022xj042,2,1
20182322,2022xj043,1,1
20182324,2022xj032,1,1
20182325,2022xj061,1,1
20182326,2022xj017,1,2
20182327,2022xj009,2,1
20182328,2022xj045,1,3
20182330,2022xj076,2,1
20182331,2022xj012,2,2
20182332,2022xj044,1,1
20182334,2022xj015,1,2
20182335,2022xj058,1,1
20182336,2022xj060,2,1
20182337,2022xj077,1,4
20182338,2022xj035,2,1
20182339,2022xj033,1,4
20182340,2022xj022,2,4
20182341,2022xj023,2,2
20182343,2022xj004,1,1
20182344,2022xj027,1,1
20182345,2022xj055,2,1
20182346,2022xj028,1,3
20182347,2022xj064,1,1
20182348,2022xj002,1,1
20182351,2022xj016,2,1
20182353,2022xj052,1,1
20182354,2022xj046,1,1
20182355,2022xj038,2,1
20182356,2022xj007,1,1
20182357,2022xj059,1,1
20182358,2022xj036,1,1
20182359,2022xj011,1,1
20182360,2022xj049,1,1
20182361,2022wl011,1,1
20182362,2022wl052,1,1
20182363,2022wl025,1,1
20182364,2022wl038,1,1
20182365,2022wl048,1,2
20182367,2022wl034,1,4
20182368,2022wl044,2,2
20182369,2022wl039,1,1
20182371,2022wl037,2,1
20182372,2022wl027,3,1
20182373,2022wl053,1,1
20182374,2022wl041,1,2
20182375,2022wl026,1,1
20182377,2022wl028,3,1
20182378,2022wl010,1,1
20182379,2022wl035,2,1
20182380,2022wl008,1,1
20182381,2022wl006,1,1
20182382,2022wl016,1,1
20182383,2022wl002,1,1
20182384,2022wl055,2,1
20182385,2022wl023,1,1
20182386,2022wl036,1,1
20182387,2022wl032,3,1
20182388,2022wl013,1,1
20182389,2022wl019,1,1
20182390,2022wl060,1,1
20182391,2022wl042,1,2
20182392,2022wl014,1,1
20182393,2022wl020,1,1
20182394,2022wl054,1,1
20182395,2022wl057,2,1
20182396,2022wl003,1,2
20182397,2022wl043,2,2
20182398,2022wl058,2,1
20182399,2022wl001,1,1
20182400,2022wl017,1,1
20182401,2022wl005,1,1
20182402,2022wl021,2,1
20182403,2022wl045,2,1
20182404,2022wl024,2,1
20182405,2022wl029,3,1
20182406,2022wl015,1,1
20182407,2022wl009,2,4
20182408,2022wl049,2,4
20182410,2022wl031,2,1
20182411,2022wl046,2,1
20182412,2022wl018,3,1
20182414,2022wl050,2,1
20182415,2022wl056,2,2
20182416,2022wl051,1,1
20182420,2022wl047,3,1
20182421,2022wl007,2,1
20182422,2022wl061,1,1
